palabra,pista
The Legend of Zelda,Saga de aventura y exploración de Nintendo protagonizada por Link
Among Us,Juego multijugador de deducción social ambientado en el espacio
Minecraft,Juego de construcción y supervivencia en mundo abierto con bloques
Super Mario Bros,Plataformas clásicas de Nintendo con fontanero saltarín
Grand Theft Auto,Saga de mundo abierto donde puedes hacer casi cualquier cosa
Elden Ring,Juego de acción y rol de From Software con mundo abierto
Dark Souls,Saga de acción difícil con bonfires y almas
Bloodborne,Juego de From Software ambientado en ciudad gótica con bestias
Sekiro,Juego de From Software con mecánicas de parry y muerte
The Witcher 3,Juego de rol de CD Projekt con cazarrecompensas mutante
Cyberpunk 2077,Juego de rol cyberpunk de CD Projekt en Night City
Red Dead Redemption 2,Western de Rockstar con vaquero en el lejano oeste
God of War,Saga de acción de Kratos contra dioses griegos y nórdicos
Horizon Zero Dawn,Mundo abierto postapocalíptico con máquinas y cazadora
Uncharted,Saga de aventura estilo Indiana Jones de Naughty Dog
The Last of Us,Juego narrativo de supervivencia con zombies y emociones
Spider-Man,Juego de mundo abierto con el trepamuros de Marvel
Halo,Saga de shooter con jefe maestro y Covenant
Call of Duty,Saga de shooters que alterna entre campaña y multijugador
Fortnite,Battle royale con construcción y eventos en vivo
League of Legends,MOBA con más de 100 campeones jugables
Valorant,Shooter táctico 5v5 de Riot Games
Counter-Strike,Shooter táctico por equipos terroristas vs antiterroristas
Overwatch,Shooter de equipos con héroes y habilidades únicas
Pokémon,Saga de capturar criaturas y combatir por turnos
Animal Crossing,Simulador de vida en isla o pueblo tranquilo
Stardew Valley,Simulador de granja indie muy acogedor
Undertale,Juego indie donde tus acciones tienen consecuencias morales
Hollow Knight,Metroidvania con insectos en mundo oscuro
Celeste,Juego de plataformas sobre escalar una montaña y la ansiedad
Dead Cells,Roguelike metroidvania con combate fluido
Hades,Roguelike de Supergiant sobre escapar del inframundo
Slay the Spire,Roguelike de mazmorras con cartas
Resident Evil,Saga de survival horror con zombies y virus
Silent Hill,Saga de horror psicológico con niebla y sirena
Metal Gear Solid,Saga de sigilo con Snake y conspiraciones
Final Fantasy,Saga de JRPG con numeración y mundos distintos
Persona 5,JRPG con estudiantes que roban corazones en Palacio
Monster Hunter,Saga de cazar bestias gigantes y hacer armaduras
Doom,Shooter clásico donde matas demonios en el infierno
Tetris,Juego de puzzles con bloques que caen
Pac-Man,Juego arcade clásico donde comes puntos y fantasmas
Street Fighter,Saga de peleas uno contra uno con Hadouken
Mortal Kombat,Saga de peleas con fatalities sangrientas
FIFA,Saga de fútbol anual de EA Sports
Rocket League,Fútbol con coches que pueden volar
Fall Guys,Battle royale de obstáculos con personajes jelly bean
Genshin Impact,JRPG de mundo abierto gacha de miHoYo
